State,Bordering_States
AL,"FL, GA, MS, TN"
AK,
AZ,"CA, CO, NV, NM, UT"
AR,"LA, MS, MO, OK, TN, TX"
CA,"AZ, NV, OR"
CO,"AZ, KS, NE, NM, OK, UT, WY"
CT,"MA, NY, RI"
DC,"KY, MD, NC, TN, WV"
DE,"MD, NY, PA"
FL,"AL, GA"
GA,"AL, FL, NC, SC, TN"
HI,
ID,"MT, NV, OR, UT, WA, WY"
IL,"IN, IA, MI, KY, MO, WI"
IN,"IL, KY, MI, OH"
IA,"IL, MN, MO, NE, SD, WI"
KS,"CO, MO, NE, OK"
KY,"IL, IN, MO, OH, TN, VA, WV"
LA,"AR, MS, TX"
ME,NH
MD,"DE, PA, VA, WV"
MA,"CT, NY, NH, RI, VT"
MI,"IL, IN, MN, OH, WI"
MN,"IA, MI, ND, SD, WI"
MS,"AL, AR, LA, TN"
MO,"AR, IL, IA, KS, KY, NE, OK, TN"
MT,"ID, ND, SD, WY"
NE,"CO, IA, KS, MO, SD, WY"
NV,"AZ, CA, ID, OR, UT"
NH,"ME, MA, VT"
NJ,"DE, NY, PA"
NM,"AZ, CO, OK, TX, UT"
NY,"CT, MA, NJ, PA, RI, VT"
NC,"GA, SC, TN, VA"
ND,"MN, MT, SD"
OH,"IN, KY, MI, PA, WV"
OK,"AR, CO, KS, MO, NM, TX"
OR,"CA, ID, NV, WA"
PA,"DE, MD, NJ, NY, OH, WV"
RI,"CT, MA, NY"
SC,"GA, NC"
SD,"IA, MN, MT, NE, ND, WY"
TN,"AL, AR, GA, KY, MS, MO, NC, VA"
TX,"AR, LA, NM, OK"
UT,"AZ, CO, ID, NV, NM, WY"
VT,"MA, NH, NY"
VA,"KY, MD, NC, TN, WV"
WA,"ID, OR"
WV,"KY, MD, OH, PA, VA"
WI,"IL, IA, MI, MN"
WY,"CO, ID, MT, NE, SD, UT"
